timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2022-08-07T00:00:00.000Z";"2022-08-07T23:59:59.999Z";"2022-08-07T21:10:00.000Z";"2022-08-07T00:59:00.000Z";"2783";118589.5856442062;120643.4654859026;118233.5096671237;119728.969715433;82043701441.85042;2287845786284.7964;"2022-08-07T23:59:59.999Z"
"2022-08-06T00:00:00.000Z";"2022-08-06T23:59:59.999Z";"2022-08-06T00:52:00.000Z";"2022-08-06T23:59:00.000Z";"2783";120324.661269261;120506.183668452;118578.0834026241;118578.0834026241;82544489477.61118;2267328708208.041;"2022-08-06T23:59:59.999Z"
"2022-08-05T00:00:00.000Z";"2022-08-05T23:59:59.999Z";"2022-08-05T12:12:00.000Z";"2022-08-05T00:04:00.000Z";"2783";117944.6091085246;122082.1202349155;117868.2191128877;120313.762022833;150546369881.90503;2320321902124.0596;"2022-08-05T23:59:59.999Z"
"2022-08-04T00:00:00.000Z";"2022-08-04T23:59:59.999Z";"2022-08-04T01:46:00.000Z";"2022-08-04T20:02:00.000Z";"2783";120734.5344505774;122582.9250086774;117413.5831131997;117961.5988705692;132740318146.35406;2285588759672.2124;"2022-08-04T23:59:59.999Z"
"2022-08-03T00:00:00.000Z";"2022-08-03T23:59:59.999Z";"2022-08-03T12:22:00.000Z";"2022-08-03T01:07:00.000Z";"2783";121322.8932442184;124483.4850217606;120106.3243697101;120718.6586436338;138780506885.45612;2305074540003.575;"2022-08-03T23:59:59.999Z"
"2022-08-02T00:00:00.000Z";"2022-08-02T23:59:59.999Z";"2022-08-02T17:07:00.000Z";"2022-08-02T09:46:00.000Z";"2783";120865.8854030189;122636.2789615325;117760.8467579264;121306.0731174873;147212459595.23398;2277098402891.7686;"2022-08-02T23:59:59.999Z"
"2022-08-01T00:00:00.000Z";"2022-08-01T23:59:59.999Z";"2022-08-01T14:55:00.000Z";"2022-08-01T18:50:00.000Z";"2783";120713.8414668563;120895.7811574217;118764.3169966337;120895.7811574217;133709945487.30338;2304579359015.6904;"2022-08-01T23:59:59.999Z"
"2022-07-31T00:00:00.000Z";"2022-07-31T23:59:59.999Z";"2022-07-31T18:16:00.000Z";"2022-07-31T22:52:00.000Z";"2783";122347.4259482255;124776.4327288233;120391.825505895;120714.7598959;121838020160.92334;2306763988740.967;"2022-07-31T23:59:59.999Z"
"2022-07-30T00:00:00.000Z";"2022-07-30T23:59:59.999Z";"2022-07-30T15:49:00.000Z";"2022-07-30T22:19:00.000Z";"2783";123096.1833090245;127109.0388328137;121977.2542885166;122368.8277019432;145605103625.24182;2338212791271.9224;"2022-07-30T23:59:59.999Z"
"2022-07-29T00:00:00.000Z";"2022-07-29T23:59:59.999Z";"2022-07-29T06:43:00.000Z";"2022-07-29T13:07:00.000Z";"2783";123615.9654675049;125922.3076844015;121202.7948762015;123136.6067957706;186043091407.09842;2357923123544.1924;"2022-07-29T23:59:59.999Z"
"2022-07-28T00:00:00.000Z";"2022-07-28T23:59:59.999Z";"2022-07-28T21:14:00.000Z";"2022-07-28T12:34:00.000Z";"2783";120275.4815302187;125000.7312986037;119157.8305329709;123611.4748781573;210893859204.27094;2389214569014.0273;"2022-07-28T23:59:59.999Z"
"2022-07-27T00:00:00.000Z";"2022-07-27T23:59:59.999Z";"2022-07-27T19:28:00.000Z";"2022-07-27T03:49:00.000Z";"2783";113690.2978129554;120679.2793657758;112764.6331435301;120259.2613234759;169961224826.58188;2344514517386.9014;"2022-07-27T23:59:59.999Z"
"2022-07-26T00:00:00.000Z";"2022-07-26T23:59:59.999Z";"2022-07-26T00:00:00.000Z";"2022-07-26T15:56:00.000Z";"2783";114446.4826498827;114446.4826498827;111353.3457940526;113666.669539072;153362415114.70157;2173994510871.0803;"2022-07-26T23:59:59.999Z"
"2022-07-25T00:00:00.000Z";"2022-07-25T23:59:59.999Z";"2022-07-25T00:19:00.000Z";"2022-07-25T23:58:00.000Z";"2783";124309.966205034;124531.6640098009;114462.0941224813;114462.3999065157;195613840804.05307;2243902325024.316;"2022-07-25T23:59:59.999Z"
"2022-07-24T00:00:00.000Z";"2022-07-24T23:59:59.999Z";"2022-07-24T22:46:00.000Z";"2022-07-24T04:14:00.000Z";"2783";123485.5132830194;126231.9672004243;122613.361521709;124309.7097420914;129531774632.58408;2373951079396.108;"2022-07-24T23:59:59.999Z"
"2022-07-23T00:00:00.000Z";"2022-07-23T23:59:59.999Z";"2022-07-23T05:17:00.000Z";"2022-07-23T18:08:00.000Z";"2783";124838.4534861194;126324.1106443235;120942.7606921281;123485.3393758175;132067047469.01854;2359228081439.35;"2022-07-23T23:59:59.999Z"
"2022-07-22T00:00:00.000Z";"2022-07-22T23:59:59.999Z";"2022-07-22T13:52:00.000Z";"2022-07-22T20:49:00.000Z";"2783";127386.7380929336;128886.5255867808;124221.5883687895;124882.4123611312;172799703119.28085;2386002835356.902;"2022-07-22T23:59:59.999Z"
"2022-07-21T00:00:00.000Z";"2022-07-21T23:59:59.999Z";"2022-07-21T01:17:00.000Z";"2022-07-21T14:37:00.000Z";"2783";127125.0879910413;127973.882429429;123151.4964058524;127393.8758364972;184018775845.44983;2420873452504.684;"2022-07-21T23:59:59.999Z"
